,question,sql
6353,Name the number of district for tom marino,SELECT COUNT District FROM table WHERE Incumbent = Tom Marino
6354,What is the highest number of laps completed by driver Joe Nemechek?,SELECT MAX Laps FROM table WHERE Driver = joe nemechek
6355,"What is the least amount of bronze Andorra, who has more than 6 total medals, has?",SELECT MIN Bronze FROM table WHERE Nation = andorra AND Total > 6
6356,Name the number of district for bill shuster,SELECT COUNT District FROM table WHERE Incumbent = Bill Shuster
6357,I want the greatest attendance when the opponent is the chicago bears,SELECT MAX Attendance FROM table WHERE Opponent = chicago bears
6358,"What is the lowest amount of bronze Liechtenstein, who has more than 11 gold, has?",SELECT MIN Bronze FROM table WHERE Nation = liechtenstein AND Gold > 11
6359,How many regions had 153 women prison inmates?,SELECT COUNT Incarceration rate Total FROM table WHERE Prison inmates Women = 153
6360,What is the high grid with 27 laps?,SELECT MAX Grid FROM table WHERE Laps = 27
6361,What is the lower turnout that has a byut of 50.7 and an ou psd smaller than 36.8?,SELECT MIN Voter turnout FROM table WHERE BYuT = 50.7 AND OU-PSD < 36.8
6362,How many regions had an incarceration rate for females of 63?,SELECT COUNT Incarceration rate Total FROM table WHERE Incarceration rate Female = 63
6363,"What is the high grid that has a Time/Retired of +6 laps, and under 69 laps?",SELECT MAX Grid FROM table WHERE Time/Retired = +6 laps AND Laps < 69
6364,Name the least goals for goal difference of 7 and losses more than 13,SELECT MIN Goals against FROM table WHERE Goal Difference = 7 AND Losses > 13
6365,How many regions have 0.5% solar panels?,SELECT COUNT Public network FROM table WHERE Solar panel = 0.5%
6366,What was the latest release date for Ariola in Spain?,SELECT MAX Release date FROM table WHERE Label = ariola AND Country = spain
6367,What was the attendance when South Melbourne played as the home team?,SELECT MIN Crowd FROM table WHERE Home team = south melbourne
6368,When don inglis and ralph smart are the writers how many episode numbers are there?,SELECT COUNT Episode No. FROM table WHERE Written by = Don Inglis and Ralph Smart
6369,"What is the highest 1930 population when the 2000 population is 43,966 and the 1900 population is less than 8,401?","SELECT MAX 1930 FROM table WHERE 2000 = 43,966 AND 1900 < 8,401"
6370,"What is the lowest quantity for GWR Nos. 696, 779, 93 5 from the manufacturer Peckett and Sons?","SELECT MIN Quantity FROM table WHERE Manufacturer = peckett and sons AND GWR Nos. = 696, 779, 93 5"
6371,Name the number of schools for 1011/12 is 26,SELECT COUNT Institute FROM table WHERE 2011/12 = 26
6372,Name the highest cuts made when top 5 is less than 3 and top ten is more than 4,SELECT MAX Cuts made FROM table WHERE Top-5 < 3 AND Top-10 > 4
6373,What is the lowest capacity with an opening larger than 2015 in Trabzon?,SELECT MIN Capacity FROM table WHERE Opening > 2015 AND City = trabzon
6374,Name the number of regions for 2013/14 being 27,SELECT COUNT Region FROM table WHERE 2013/14 = 27
6375,I want the most top 25 when events are more than 20 and top 10 is more than 21,SELECT MAX Top-25 FROM table WHERE Events > 20 AND Top-10 > 21
6376,What is the lowest amount of people that attended a game where the home team scored 10.13 (73)?,SELECT MIN Crowd FROM table WHERE Home team score = 10.13 (73)
6377,"How many directors directed the episode titled ""Incoming""?","SELECT COUNT Directed by FROM table WHERE Title = ""Incoming"""
6378,What was Alexander Wurz's highest laps when he has a grid less than 14 and a time/retired of +1 lap.,SELECT MAX Laps FROM table WHERE Time/Retired = +1 lap AND Driver = alexander wurz AND Grid < 14
6379,Name the least Laps for accident and gird more than 13,SELECT MIN Laps FROM table WHERE Time/Retired = accident AND Grid > 13
6380,How many draft picks were for Winnipeg blue bombers?,SELECT COUNT Pick # FROM table WHERE CFL Team = Winnipeg Blue Bombers
6381,What was the most recent year that a team located in Highland Township and a member of the West Division joined the Kensington Lakes Activities Association?,SELECT MAX Joined FROM table WHERE Division = west AND Location = highland township
6382,Tell me the lowest Grid for engine and driver of emerson fittipaldi with more laps than 70,SELECT MIN Grid FROM table WHERE Time/Retired = engine AND Driver = emerson fittipaldi AND Laps > 70
6383,How many colleges provided players with positions LB?,SELECT COUNT College FROM table WHERE Position = LB
6384,"What is the biggest roll number of Sylvia Park School, which has a state authority?",SELECT MAX Roll FROM table WHERE Authority = state AND Name = sylvia park school
6385,What is the smallest crowd size for punt road oval?,SELECT MIN Crowd FROM table WHERE Venue = punt road oval
6386,What number pick was Danny Walters in the 1983 NFL draft?,SELECT COUNT Pick # FROM table WHERE Player = Danny Walters
6387,Which NGC number has a Constellation of ursa major?,SELECT MAX NGC number FROM table WHERE Constellation = ursa major
6388,What is the lowest round for Georgia Tech?,SELECT MIN Round FROM table WHERE School = georgia tech
6389,How many colleges have the NFL Team Buffalo Bills?,SELECT COUNT College FROM table WHERE NFL Team = Buffalo Bills
6390,What is the highest number of games tied for teams with under 551 games and a percentage of under 0.5593?,SELECT MAX Tied FROM table WHERE Pct. < 0.5593 AND Lost = 551
6391,Which loss had a player lower than 18?,SELECT MIN Lost FROM table WHERE Played < 18
6392,Name the total number of pick number being henry ellard,SELECT COUNT Pick # FROM table WHERE Player = Henry Ellard
6393,How many golds for the nation ranked below 5 and over 1 bronze medals?,SELECT MAX Gold FROM table WHERE Rank > 5 AND Bronze < 1
6394,"In 1948-10-28, what were the lowest Goals in Tehran, Iran?","SELECT MIN Goals FROM table WHERE Venue = tehran, iran AND Date = 1948-10-28"
6395,Name the number of players for georgia tech,SELECT COUNT Player FROM table WHERE College = Georgia Tech
6396,"Which highest number of Seats has votes of 244,867?","SELECT MAX Seats FROM table WHERE Votes = 244,867"
6397,Which track has a title : Just a little bit,SELECT MIN Track FROM table WHERE Song Title = just a little bit
6398,Name the total number for nfl team for ellis gardner,SELECT COUNT NFL Team FROM table WHERE Player = Ellis Gardner
6399,How many yards for the player with 1 solo tackle and over 0 sacks?,SELECT MAX Yards FROM table WHERE Solo = 1 AND Sack > 0
6400,"What is the smallest value for League Cup when the League number is greater than 1, no FA Cups, and Brian Deane scoring?",SELECT MIN League Cup FROM table WHERE League > 1 AND Name = brian deane AND FA Cup < 1
6401,how many l2 cache has a clock speed to tdp ratio of 46.7?,SELECT COUNT L2 Cache FROM table WHERE Clock Speed to TDP ratio (MHz/W) = 46.7
6402,What is the highest opening week net gross of the movie ranked higher than 5 from Reliance Entertainment?,SELECT MAX Opening Week Nett Gross FROM table WHERE Rank < 5 AND Studio(s) = reliance entertainment
6403,Name the lowest rank for red chillies entertainment for 2013,SELECT MIN Rank FROM table WHERE Year = 2013 AND Studio(s) = red chillies entertainment
6404,How many players were the running back draft pick for the New England Patriots?,SELECT COUNT Player FROM table WHERE NFL Team = New England Patriots AND Position = Running back
6405,"What is the highest rank of Jab Tak Hai Jaan, which has an opening week net gross less than 99,00,00,000 and was after 2012?","SELECT MAX Rank FROM table WHERE Opening Week Nett Gross < 99,00,00,000 AND Movie = jab tak hai jaan AND Year > 2012"
6406,What is the rank for don january with over 2 wins and over 17 events?,SELECT MIN Rank FROM table WHERE Wins > 2 AND Player = don january AND Events > 17
6407,What is the language total number if the Tacachi Municipality is 3?,SELECT COUNT Language FROM table WHERE Tacachi Municipality = 3
6408,"What is the highest rank of the movie with an opening week net gross less than 80,87,00,000 before 2011?","SELECT MAX Rank FROM table WHERE Year < 2011 AND Opening Week Nett Gross < 80,87,00,000"
6409,What is the smallest grid for Bob Anderson?,SELECT MIN Grid FROM table WHERE Driver = bob anderson
6410,"If the language is another native, what is the San Benito Municipality total number?",SELECT COUNT San Benito Municipality FROM table WHERE Language = Another native
6411,"What is the high grid number for a Time/Retired of + 3 laps, and a Laps smaller than 57?",SELECT MAX Grid FROM table WHERE Time/Retired = + 3 laps AND Laps < 57
6412,What is the number of votes for the Party of Labour?,SELECT MIN Votes FROM table WHERE Party = labour
6413,Name the number of tomina for villa alcala for 176,SELECT COUNT Tomina Municipality FROM table WHERE Villa Alcalá Municipality = 176
6414,"What was the biggest draws, for wins under 4, and points of 20-18?",SELECT MAX Draws FROM table WHERE Points = 20-18 AND Wins < 4
6415,What was the lowest Crowd of the game that had an Away team score of 13.17 (95)?,SELECT MIN Crowd FROM table WHERE Away team score = 13.17 (95)
6416,Name the total number of games for goals against being 352,SELECT COUNT Games FROM table WHERE Goals against = 352
6417,What is the highest number of silvers a team with more than 95 total medals has?,SELECT MAX Silver FROM table WHERE Total > 95
6418,What is the smallest Crowd number for the Venue named Princes Park?,SELECT MIN Crowd FROM table WHERE Venue = princes park
6419,Name the total number of games for lost being 41,SELECT COUNT Games FROM table WHERE Lost = 41
6420,"What is the highest total medals a team with less than 15 gold, less than 5 bronze, and a rank larger than 10 has?",SELECT MAX Total FROM table WHERE Gold < 15 AND Bronze < 5 AND Rank > 10
6421,Tell me the lowest date for result of win and method of points with notes of opening round,SELECT MIN Date FROM table WHERE Result = win AND Method = points AND Notes = opening round
6422,Name the number of won for goals for being 274,SELECT COUNT Won FROM table WHERE Goals for = 274
6423,What is the highest score with a Result of 1–1 on 4 march 2001?,SELECT MAX Scored FROM table WHERE Result = 1–1 AND Date = 4 march 2001
6424,"What is the lowest bronze a team with 9 silvers, a total larger than 13, and more than 13 gold medals has?",SELECT MIN Bronze FROM table WHERE Silver = 9 AND Total > 13 AND Gold > 13
6425,How many capacities are given for FF Jaro club?,SELECT COUNT Capacity FROM table WHERE Club = FF Jaro
6426,"what is the highest pick number of the CFL team, the winnipeg blue bombers?",SELECT MAX Pick # FROM table WHERE CFL Team = winnipeg blue bombers
6427,What was the lowest Attendance for Games played on the Date of February 5?,SELECT MIN Attendance FROM table WHERE Date = february 5
6428,How many managers for club in Turku where kitmaker is Puma?,SELECT COUNT Manager FROM table WHERE Kitmaker = Puma AND Location = Turku
6429,What is the highest overall for a round larger than 8 for pavol demitra?,SELECT MAX Overall FROM table WHERE Round > 8 AND Player = pavol demitra
6430,What was the lowest pick number for the Boston Celtics?,SELECT MIN Pick FROM table WHERE Team = boston celtics
6431,How many times was episode 5 in the series aired on Fox int.?,SELECT COUNT Fox Int. Channels air date FROM table WHERE Series # = 5
6432,What is the highest decile value with a roll greater than 301 in Hauraki?,SELECT MAX Decile FROM table WHERE Roll > 301 AND Area = hauraki
6433,What was the total for christina liebherr?,SELECT MIN Total FROM table WHERE Rider = christina liebherr
6434,How many competitions had a final score of 15.650?,SELECT COUNT Competition Description FROM table WHERE Score-Final = 15.650
6435,Name the most laps for grid more than 9 and the driver being jan heylen,SELECT MAX Laps FROM table WHERE Grid > 9 AND Driver = jan heylen
6436,What was the lowest attendance at Windy Hill?,SELECT MIN Crowd FROM table WHERE Venue = windy hill
6437,What are the number of points for associated with exactly 3 stolen ends?,SELECT COUNT PF FROM table WHERE Stolen Ends = 3
6438,What was Jack Brabham's highest grid when his laps were more than 90?,SELECT MAX Grid FROM table WHERE Driver = jack brabham AND Laps > 90
6439,How many were in attendance on 14 April 2007?,SELECT MIN Attendance FROM table WHERE Date = 14 april 2007
6440,How many position did a player took while weighing 170?,SELECT COUNT Position FROM table WHERE Weight = 170
6441,What was CHris Amon's highest lap when his grid was 4?,SELECT MAX Laps FROM table WHERE Driver = chris amon AND Grid < 4
6442,Tell me the least Grid with points more than 11 and drivers being sébastien bourdais with laps less than 67,SELECT MIN Grid FROM table WHERE Points > 11 AND Driver = sébastien bourdais AND Laps < 67
6443,"If the city is Santa Clara, what is the population total number?",SELECT COUNT Population FROM table WHERE City = Santa Clara
6444,"What is the highest swimsuit a contestant from Kansas with an average larger than 8.48, an interview higher than 8.58, and an evening gown higher than 8.82 has?",SELECT MAX Swimsuit FROM table WHERE Average > 8.48 AND Interview > 8.58 AND Evening gown > 8.82 AND State = kansas
6445,"What is the lowest evening gown score a contestant with an average less than 8.23, an interview score of 8.11, and a swimsuit larger than 7.84 has?",SELECT MIN Evening gown FROM table WHERE Average < 8.23 AND Interview = 8.11 AND Swimsuit > 7.84
6446,How many previous years did Maebashi Ikuei high school have a total number of 1 participation?,SELECT COUNT Year of Previous Participation FROM table WHERE Total Number of Participation = 1 AND High School Name = Maebashi Ikuei
6447,"What is the highest rank of the player with earnings of $6,715,649?","SELECT MAX Rank FROM table WHERE Earnings( $ ) = 6,715,649"
6448,"What is the smallest End term with a Start term of 1913, and a Name of ludwig iii?",SELECT MIN End term FROM table WHERE Start term = 1913 AND Name = ludwig iii
6449,How many datas were recorded on January 15-16 if August 21-22 is 155?,SELECT COUNT January 15-16 FROM table WHERE August 21-22 = 155
6450,"What was the latest gross 75,50,00,000?","SELECT MAX Year FROM table WHERE Nett Gross = 75,50,00,000"
6451,What is the lowest post number for calvin borel?,SELECT MIN Post FROM table WHERE Jockey = calvin borel
6452,How many data are on points for if the percentage is 94.29?,SELECT COUNT Points for FROM table WHERE Percentage (%) = 94.29
6453,"Which game has a high rebound of Evans (7) and a high assist of Evans, Ollie (3)?","SELECT MAX Game FROM table WHERE High rebounds = evans (7) AND High assists = evans, ollie (3)"
6454,"With Laps greater than 78, what is the lowest Grid?",SELECT MIN Grid FROM table WHERE Laps > 78
6455,What is the Tuesday 1 June total number if Monday 31 May is 20' 15.35 111.761mph?,SELECT COUNT Tues 1 June FROM table WHERE Mon 31 May = 20' 15.35 111.761mph
6456,"What division has the highest FA Cup Goals, but a Total Goal score less than 5, and a Total Apps of 52?",SELECT MAX FA Cup Goals FROM table WHERE Total Apps (Sub) = 52 AND Total Goals < 5
6457,What is the low grid total for a retired due to steering in under 15 laps?,SELECT MIN Grid FROM table WHERE Time/Retired = steering AND Laps < 15
6458,"If Tuesday 1 June is 21' 05.27 107.351mph, what is the rider total number?",SELECT COUNT Rider FROM table WHERE Tues 1 June = 21' 05.27 107.351mph
6459,What is the top round for the baltimore bullets with a Pick larger than 6?,SELECT MAX Round FROM table WHERE Team = baltimore bullets AND Pick > 6
6460,"Which is the lowest Round with the Opponent, Paul Cahoon and Location, Amsterdam, Netherlands?","SELECT MIN Round FROM table WHERE Opponent = paul cahoon AND Location = amsterdam, netherlands"
6461,How many times are listed for 31 May for the rider ranked 5?,SELECT COUNT Mon 31 May FROM table WHERE Rank = 5
6462,Which largest average had 1229 yards?,SELECT MAX Avg. FROM table WHERE Yards = 1229
6463,I want the lowest points diff for against being less than 578 and lost being 15 and points more than 26,SELECT MIN Points Diff FROM table WHERE Against < 578 AND Lost = 15 AND Points > 26
6464,"How many times does November 3rd occur when January 15, 1991 does?","SELECT COUNT November 3 FROM table WHERE January 15-16 = January 15, 1991"
6465,What is the highest rank Mount Elbert has?,SELECT MAX Rank FROM table WHERE Mountain Peak = mount elbert
6466,"What is the minimum 2010 GDP if the 2009 GDP is larger than 3,749, 1995 GDP is 876 and 2008 GDP is larger than 4,885?","SELECT MIN 2010 FROM table WHERE 2009 > 3,749 AND 1995 = 876 AND 2008 > 4,885"
6467,"How many times does an occurance happen in June when it happens on NOvember 3, 1975?","SELECT COUNT June 10-11 FROM table WHERE November 3 = November 3, 1975"
6468,Name the most swimsuit for interview less than 8.46,SELECT MAX Swimsuit FROM table WHERE Interview < 8.46
6469,What is the 1995 GDP when 1990 GDP is 441 and 1985 GDP is less than 359?,SELECT MIN 1995 FROM table WHERE 1990 = 441 AND 1985 < 359
6470,How many numbers are there for August when March is 139?,SELECT COUNT August 21-22 FROM table WHERE March 27-29 = 139
6471,Name the most evening gown for average less than 8.793 with interview of 8.51 and swimsuit less than 8.12,SELECT MAX Evening Gown FROM table WHERE Average < 8.793 AND Swimsuit < 8.12 AND Interview = 8.51
6472,When the home team scored 19.15 (129)?,SELECT MIN Crowd FROM table WHERE Home team score = 19.15 (129)
6473,How many teams have been in Topperserien for 8 seasons? ,SELECT COUNT Team FROM table WHERE Seasons = 8
6474,Which of the top-10s has a starts value of 14?,SELECT MAX Top-10s FROM table WHERE Starts = 14
6475,What is the low point total for teams with 81 places?,SELECT MIN Points FROM table WHERE Places = 81
6476,How many data was given the total electricity in GW-h if the renewable electricity w/o hydro (GW-h) is 3601?,SELECT COUNT Total electricity (GW·h) FROM table WHERE Renewable electricity w/o Hydro (GW·h) = 3601
6477,What is the best rank with a time of 1:05.14.10?,SELECT MAX Rank FROM table WHERE Time = 1:05.14.10
6478,"What is the low lap total for minardi - motori moderni, and a Grid smaller than 18?",SELECT MIN Laps FROM table WHERE Constructor = minardi - motori moderni AND Grid < 18
6479,How many data was given the total electricity in GW-h if % renewable is 92.3%?,SELECT COUNT Total electricity (GW·h) FROM table WHERE % Renewable = 92.3%
6480,"What is the maximum goals conceded for a team with 2 draws, more than 29 goals and a diff larger than 15?",SELECT MAX Goals Conceded (GC) FROM table WHERE Draw (PE) = 2 AND Goals Scored (GF) > 29 AND +/- (Dif.) > 15
6481,"Tell me the lowest date commissioned for iron rmsrhone and gross tonnage less than 2,738","SELECT MIN Date Commissioned FROM table WHERE Material = iron AND Ship = rmsrhone AND Gross Tonnage < 2,738"
6482,How many different original U.S. air dates appear where the U.S. viewers were 2.5 million?,SELECT COUNT Original U.S. air date FROM table WHERE U.S. viewers (millions) = 2.5
6483,"What is the largest 2000 GDP when the 2008 GDP is smaller than 3,632, 2010 GDP is 2,558 and 2009 GDP is larger than 2,239?","SELECT MAX 2000 FROM table WHERE 2008 < 3,632 AND 2010 = 2,558 AND 2009 > 2,239"
6484,Tell me the lowest height for class of hewitt and prom less than 148,SELECT MIN Height (m) FROM table WHERE Class = hewitt AND Prom. (m) < 148
6485,Name the total number of rank for east midnapore,SELECT COUNT Rank FROM table WHERE District = East Midnapore
6486,"What is the maximum 1985 GDP for the region where 1990 GDP is less than 267, 2000 GDP is 333 and 2005 GDP is less than 658?",SELECT MAX 1985 FROM table WHERE 1990 < 267 AND 2000 = 333 AND 2005 < 658
6487,Tell me the lowest prom for class of hewitt and peak of cushat law and height more than 615,SELECT MIN Prom. (m) FROM table WHERE Class = hewitt AND Peak = cushat law AND Height (m) > 615
6488,Name the total number of rank for growth raate for 14.47,SELECT COUNT Rank FROM table WHERE Growth Rate = 14.47
6489,When was the last time a nominee for Best Revival of a Musical was selected?,SELECT MAX Year FROM table WHERE Nominee = best revival of a musical
6490,what is the game for 23 april when batting 2nd is england 5/113 (19)?,SELECT MIN Game FROM table WHERE Date = 23 april AND Batting 2nd = england 5/113 (19)
6491,How many violent catagories are listed for the year forcible rapes were 1156? ,SELECT COUNT Violent FROM table WHERE Forcible rape = 1156
6492,"For the player with yards less than 138, and Comp more than 0, what was the highest Att.?",SELECT MAX Att. FROM table WHERE Yards < 138 AND Comp > 0
6493,what is the game when batting 2nd is new zealand 6/133 (18)?,SELECT MIN Game FROM table WHERE Batting 2nd = new zealand 6/133 (18)
6494,"How many solar eclipse during August 21-22 where June 10-11 on June 11, 1983?","SELECT COUNT August 21-22 FROM table WHERE June 10-11 = June 11, 1983"
6495,"What is the high lap total for a grid less than 6, and a Time/Retired of halfshaft?",SELECT MAX Laps FROM table WHERE Grid < 6 AND Time/Retired = halfshaft
6496,"When the Apps were smaller than 22, what's the lowest amount of goals scored in a game?",SELECT MIN Goals FROM table WHERE Apps < 22
6497,Name the fastest lap for round 14,SELECT COUNT Fastest Lap FROM table WHERE Round = 14
6498,What is the average where the swimsuit is larger than 9.437?,SELECT MAX Average FROM table WHERE Swimsuit > 9.437
6499,What is the fewest bronze medals for a team with fewer than 1 silver and rank lower than 5?,SELECT MIN Bronze FROM table WHERE Silver < 1 AND Rank < 5
6500,How many laps where the position is 10th and the races is smaller than 9.0?,SELECT COUNT F/Laps FROM table WHERE Position = 10th AND Races < 9.0
6501,What is the largest number of Peak lessons taught when the Evaluation average (Before April 2009) was 4.4?,SELECT MAX Peak lessons taught FROM table WHERE Evaluation average (Before April 2009) = 4.4
6502,What is the smallest total for a nation with more than 1 silver?,SELECT MIN Total FROM table WHERE Silver > 1
6503,How many players 89 points?,SELECT COUNT Blocks FROM table WHERE Points = 89
6504,What is the highest Laps with a Time/Retired Wheel?,SELECT MAX Laps FROM table WHERE Time/Retired = wheel
6505,Name the lowest reported isn for russia,SELECT MIN reported isn FROM table WHERE Citizenship = russia
6506,How many episodes were directed by Michael McCullers?,SELECT COUNT Original air date FROM table WHERE Directed by = Michael McCullers
6507,What was the top crowd when the away team scored 11.14 (80)?,SELECT MAX Crowd FROM table WHERE Away team score = 11.14 (80)
6508,Which is the smallest pick number that had a Reg GP of less than 0?,SELECT MIN Pick # FROM table WHERE Reg GP < 0
6509,When art grand prix is the team and 2010 is the season how many wins are there?,SELECT COUNT Wins FROM table WHERE Season = 2010 AND Team = ART Grand Prix
6510,What was the top crowd when collingwood played home?,SELECT MAX Crowd FROM table WHERE Home team = collingwood
6511,Tell me the lowest Laps with a time/retired of +2 Laps and Grid of 20,SELECT MIN Laps FROM table WHERE Time/Retired = +2 laps AND Grid = 20
6512,What is the capacity for a facility opened in 1956?,SELECT COUNT Capacity FROM table WHERE Year Opened = 1956
6513,"For Getafe CF, what is the highest number of goals scored?",SELECT MAX Goals FROM table WHERE Team = getafe cf
6514,Tell me the lowest avg for 6 yards and rec more than 1,SELECT MIN Avg. FROM table WHERE Yards = 6 AND Rec. > 1
6515,How many years did the school have a mathetmatics score of 98.02?,SELECT COUNT Science FROM table WHERE Mathematics = 98.02
6516,what is the game when the result is new zealand by 4 wickets?,SELECT MAX Game FROM table WHERE Result = new zealand by 4 wickets
6517,Name the lelast decile for roll of 428,SELECT MIN Decile FROM table WHERE Roll = 428
6518,How many values for points have Sophia Witherspoon as the player?,SELECT COUNT Points FROM table WHERE Player = Sophia Witherspoon
6519,What was the largest crowd for a game where the away team scored 14.20 (104)?,SELECT MAX Crowd FROM table WHERE Away team score = 14.20 (104)
6520,What Cornerback has the lowest Pick # and Round of less than 1?,SELECT MIN Pick # FROM table WHERE Position = cornerback AND Round < 1
6521,how many times is march 27-29 is 129?,SELECT COUNT November 3 FROM table WHERE March 27-29 = 129
6522,What is the largest total for a nation with 1 bronze and more than 1 silver?,SELECT MAX Total FROM table WHERE Bronze = 1 AND Silver > 1
6523,What is the oldest season that had a listed Super G score of 33?,SELECT MIN Season FROM table WHERE Super G = 33
6524,How many entries are shown for november 3 when january 15-16 is 141?,SELECT COUNT November 3 FROM table WHERE January 15-16 = 141
6525,Which is the biggest pick for Naperville Central High School?,SELECT MAX Pick FROM table WHERE School = naperville central high school
6526,What was the lowest percentages of wins in 1989 with a GB [c] of 17?,SELECT MIN Win% FROM table WHERE GB [c ] = 17 AND Reds season = 1989
6527,Name the number of teams for 11th position september 10,SELECT COUNT Team FROM table WHERE Position in table = 11th AND Date of appointment = September 10
6528,What is the highest region number with a 499 population?,SELECT MAX Region FROM table WHERE Population = 499
6529,What was the lowest wins in a season less than 1915 with a 7th finish and 0.429 win %?,SELECT MIN Wins FROM table WHERE Finish = 7th AND Win% > 0.429 AND Reds season < 1915
6530,Name the number of home town for number being 32,SELECT COUNT Home Town FROM table WHERE # = 32
6531,What is the highest rank for Peter Symes?,SELECT MAX Rank FROM table WHERE Rider = peter symes
6532,What is the lowest 2009 value with a 2010 value of 141 and a 1985 value bigger than 165?,SELECT MIN 2009 FROM table WHERE 2010 = 141 AND 1985 > 165
6533,Name the total number of height for number 32,SELECT COUNT Height FROM table WHERE # = 32
6534,Name the most decile for roll of 428,SELECT MAX Decile FROM table WHERE Roll = 428
6535,What is the lowest gold medals of a rank 12 team?,SELECT MIN Gold FROM table WHERE Rank = 12
6536,How many different net run rates did the team with 19 total points have?,SELECT COUNT Net Run Rate FROM table WHERE Total Points = 19
6537,"What's the highest year than hawthorn won with a season result of preliminary finalist and a crowd smaller than 27,407?","SELECT MAX Year FROM table WHERE Winners = hawthorn AND Season Result = preliminary finalist AND Crowd < 27,407"
6538,What is the smallest grid for driver of juan pablo montoya?,SELECT MIN Grid FROM table WHERE Driver = juan pablo montoya
6539,How many team position scored 56 points?,SELECT COUNT Position FROM table WHERE Points = 56
6540,What is the highest PL GP for a round greater than 9?,SELECT MAX Pl GP FROM table WHERE Rd # > 9
6541,What is the premiere rating associated with an average of 35 ranked above 1?,SELECT MIN Premiere FROM table WHERE Average = 35 AND Rank > 1
6542,How many game sites are there where the team record is 1–7?,SELECT COUNT Game site FROM table WHERE Team record = 1–7
6543,What was the highest lap for Luigi Piotti with more than 13 grid and a time/retired engine?,SELECT MAX Laps FROM table WHERE Grid > 13 AND Time/Retired = engine AND Driver = luigi piotti
6544,What is the low grid for gerhard berger for laps over 56?,SELECT MIN Grid FROM table WHERE Driver = gerhard berger AND Laps > 56
6545,How many letters were given to the organization with a founding date of 1997-12-12? ,SELECT COUNT Letters FROM table WHERE Founding Date = 1997-12-12
6546,What is the largest crowd with Home team of hawthorn?,SELECT MAX Crowd FROM table WHERE Home team = hawthorn
6547,What is the smallest pick with a Reg GP less than 0?,SELECT MIN Pick # FROM table WHERE Reg GP < 0
6548,What is the song choice where the original artist is Gino Paoli?,SELECT COUNT Song choice FROM table WHERE Original artist = Gino Paoli
6549,"What is the high rank for players earning over $533,929?","SELECT MAX Rank FROM table WHERE Earnings ( $ ) > 533,929"
6550,What was the first year to have a Chassis of Jordan 193?,SELECT MIN Year FROM table WHERE Chassis = jordan 193
6551,how many types of organization were founded in san diego state university? ,SELECT COUNT Type FROM table WHERE Founding University = San Diego State University
6552,What is the highest 1985 value that has a 1990 value of 93?,SELECT MAX 1985 FROM table WHERE 1990 = 93
6553,what is the least number of goals for when the goals against is 70 and the ties less than 0?,SELECT MIN Goals For FROM table WHERE Goals Against = 70 AND Ties < 0
6554,Name the season for position 4th,SELECT COUNT Season FROM table WHERE Position = 4th
6555,What is the highest 2000 value that has a 2010 value of 82 and a 2005 value less than 74?,SELECT MAX 2000 FROM table WHERE 2010 = 82 AND 2005 < 74
6556,what is the lowest number of ties when the losses is 7 and games played is less than 10?,SELECT MIN Ties FROM table WHERE Losses = 7 AND Games Played < 10
6557,How many results are listed for shot PCT Where PA is 79?,SELECT COUNT Shot Pct. FROM table WHERE PA = 79
6558,Who has a highest Long with 26 Yards and less than 9 Car?,SELECT MAX Long FROM table WHERE Yards = 26 AND Car. < 9
6559,What is the lowest number of goals scored by a player in the normal league games where more than 8 total goals were scored?,SELECT MIN League FROM table WHERE Total > 8
6560,How many f/laps did Pedro Nunes have when he was in 20th position?,SELECT COUNT F/Laps FROM table WHERE Position = 20th
6561,Who has the highest Long with 59 Car?,SELECT MAX Long FROM table WHERE Car. = 59
6562,What is the lowest number of goals scored in regular league games by Ehiogu where he scored 0 goals in the FA Cup and at least 1 goal in the League Cup?,SELECT MIN League FROM table WHERE FA Cup = 0 AND Total = 1 AND Name = ehiogu AND League Cup > 0
6563,How many entries for Italian correspond to the Conservative Central Italian of Unu?,SELECT COUNT Italian FROM table WHERE Conservative Central Italian 1 = unu
6564,Tell me the highest laps for time/retired of +2 laps and driver of felice bonetto,SELECT MAX Laps FROM table WHERE Time/retired = +2 laps AND Driver = felice bonetto
6565,What was the smallest crowd when Melbourne was the away team?,SELECT MIN Crowd FROM table WHERE Away team = melbourne
6566,"If the location is Yangon, Myanmar, what is the opponent total number?","SELECT COUNT Opponent FROM table WHERE Location = Yangon, Myanmar"
6567,what is the highest ngc number when the declination (j2000) is °25′26″?,SELECT MAX NGC number FROM table WHERE Declination ( J2000 ) = °25′26″
6568,Who is Essendon's home team?,SELECT MIN Crowd FROM table WHERE Home team = essendon
6569,How many provinces are named 青海省 qīnghǎi shěng?,SELECT COUNT ISO № FROM table WHERE Chinese Name = 青海省 Qīnghǎi Shěng
6570,Which Goals have a Date of 7 february 2010?,SELECT MAX Goals FROM table WHERE Date = 7 february 2010
6571,"What was the rank of the car who had more than 182 laps, gris less than 3, with a qual time of more than 134.14 and a time/retired of +14:21.72?",SELECT MIN Rank FROM table WHERE Laps > 182 AND Qual > 134.14 AND Time/Retired = +14:21.72 AND Grid < 3
6572,How many provinces have a density of 165.81?,SELECT COUNT ISO № FROM table WHERE Density² = 165.81
